年度,作品名稱,摘要,主要技術,競賽成果,狀態,資料確認
2015,神奇魔法石,將光線感應、故事情境與遊戲機構結合的創意科學玩具。,光敏電阻、基礎電路、LED、互動機構,索尼創意科學大賞：冠軍,completed,verified
2015,炫光餵魚秀,以鯉魚造型、燈光與餵魚互動呈現趣味科技裝置。,LED、基礎電路、互動機構,ASML發明家大賽：亞軍、全球人氣獎,completed,verified
2016,電音三太子,將臺灣民俗文化中的三太子造型與音樂、燈光及動作機構結合。,聲音播放、LED、馬達、機構設計,索尼創意科學大賞：優勝,completed,verified
2017,鯉魚炫光,以鯉魚為主角，透過光影與互動設計呈現炫光效果。,LED、光影原理、造型結構,索尼創意科學大賞：冠軍,completed,verified
2017,鯉魚王,以鯉魚模型、透明容器、麵包板電路與視覺化程式發展互動科學玩具。,視覺化程式、麵包板電路、控制元件、魚形模型,第5屆索尼創意科學大賞：佳作,completed,verified
2018,搖頭晃腦 v1,第一代以光敏電阻製作互動裝置，讓光線遮擋與變化成為控制方式。,光敏電阻、光線感測、互動裝置,索尼創意科學大賞：亞軍,completed,verified
2019,搖頭晃腦 v2,以 Arduino 陣列編排四首曲目，按鈕可隨機點播一首並由裝置自動演奏。,Arduino、陣列程式、按鈕控制、隨機點播、自動演奏,IEYI臺灣選拔：金牌；IEYI世界賽：銀牌,completed,verified
2019,搖頭晃腦 v3－竹魚編鐘,使用手機 App 自行編曲，透過藍牙上傳到竹魚編鐘並自動播放。,手機 App 編曲、藍牙傳輸、微控制器、馬達、敲擊機構,首屆國教署科技教育創意實作競賽：機電整合國小組金牌,completed,verified
2019-2020,猴子加油,以猴子角色與體感遊戲為主題，後續改良為IEYI發明作品。,動作感測、微控制器、機械結構、聲光回饋,索尼創意科學大賞：遠哲科學教育特別獎；IEYI臺灣選拔：金牌；IEYI世界賽：銅牌,completed,verified
2020,八部合音,融合布農八部合音、圖騰編織、人物造型、程式控制與環形燈光的文化科技作品。,視覺化程式、LED燈光、圖騰編織、人物造型,國教署科技教育創意實作競賽：全國佳作,completed,verified
2021,通風報信妙管家,偵測教室通風或空氣狀況，在環境不佳時主動提醒改善通風。,環境感測、空氣品質、聲光警示、微控制器,IEYI臺灣選拔：銀牌,completed,verified
2021,鯉魚玩很大,以鯉魚造型與在地意象設計多人操作的互動遊戲。,感測器、遊戲機構、燈光,索尼創意科學大賞：優勝,completed,verified
2021,打擊病毒大作戰,把防疫主題設計成雙人射擊遊戲，由系統隨機選擇病毒目標，玩家在有限次數中完成挑戰。,micro:bit、光敏電阻、伺服馬達、LED燈光、隨機目標程式,第9屆索尼創意科學大賞：佳作,completed,verified
2022,寫字魔法師,把寫字練習轉化為觸控、發光與聲音互動，並延伸音樂創作及自由繪圖模式。,TTP223電容式觸控、WS2812全彩LED、CD74HC4067多工器、Arduino,IEYI臺灣選拔：銅牌,completed,verified
2022,逐光！竹光！,結合竹山竹樂器、追光互動與彩色燈光，呈現具有鄉土特色的科學玩具。,竹管音階、光敏電阻、微控制器、馬達機構、LED燈光,第10屆索尼創意科學大賞：佳作、鄉土特色特別獎,completed,verified
